datetime,temp_location3,temp_location6,temp_location2,temp_location4,temp_location5,temp_location1,solar_location3,solar_location6,solar_location2,solar_location4,solar_location5,solar_location1,month,day,weekday,hour,minute,demand_MW
2017-11-03 00:00:00,7.46,13.2,9.64,6.68,13.09,8.56,0.0,0.0,0.0,0.0,0.0,0.0,11,3,4,0,0,2.19
2017-11-03 00:30:00,7.3,13.26,9.675,6.475,13.15,8.625,0.0,0.0,0.0,0.0,0.0,0.0,11,3,5,0,30,2.14
2017-11-03 01:00:00,7.14,13.32,9.71,6.27,13.21,8.69,0.0,0.0,0.0,0.0,0.0,0.0,11,3,6,1,0,2.01
2017-11-03 01:30:00,7.0,13.34,9.72,6.09,13.255,8.715,0.0,0.0,0.0,0.0,0.0,0.0,11,3,7,1,30,1.87
2017-11-03 02:00:00,6.86,13.36,9.73,5.91,13.3,8.74,0.0,0.0,0.0,0.0,0.0,0.0,11,3,1,2,0,1.86
2017-11-03 02:30:00,6.73,13.415,9.77,5.755,13.34,8.79,0.0,0.0,0.0,0.0,0.0,0.0,11,3,2,2,30,1.75
2017-11-03 03:00:00,6.6,13.47,9.81,5.6,13.38,8.84,0.0,0.0,0.0,0.0,0.0,0.0,11,3,3,3,0,1.72
2017-11-03 03:30:00,6.73,13.545,9.850000000000001,5.484999999999999,13.425,8.895,0.0,0.0,0.0,0.0,0.0,0.0,11,3,4,3,30,1.62
2017-11-03 04:00:00,6.86,13.62,9.89,5.37,13.47,8.95,0.0,0.0,0.0,0.0,0.0,0.0,11,3,5,4,0,1.62
2017-11-03 04:30:00,6.765000000000001,13.649999999999999,9.74,5.359999999999999,13.504999999999999,9.01,0.0,0.0,0.0,0.0,0.0,0.0,11,3,6,4,30,1.6
2017-11-03 05:00:00,6.67,13.68,9.59,5.35,13.54,9.07,0.0,0.0,0.0,0.0,0.0,0.0,11,3,7,5,0,1.69
2017-11-03 05:30:00,6.58,13.695,9.75,5.395,13.59,9.175,0.0,0.0,0.0,0.0,0.0,0.0,11,3,1,5,30,1.9
2017-11-03 06:00:00,6.49,13.71,9.91,5.44,13.64,9.28,0.0,0.0,0.0,0.0,0.0,0.0,11,3,2,6,0,2.32
2017-11-03 06:30:00,6.325,13.735,9.975,5.550000000000001,13.695,9.39,2.845,2.93,1.61,2.225,2.455,1.235,11,3,3,6,30,2.78
2017-11-03 07:00:00,6.16,13.76,10.04,5.66,13.75,9.5,5.69,5.86,3.22,4.45,4.91,2.47,11,3,4,7,0,3.35
2017-11-03 07:30:00,6.195,13.83,10.19,5.93,13.815000000000001,9.675,35.565,35.945,19.58,22.485,35.065,18.849999999999998,11,3,5,7,30,3.61
2017-11-03 08:00:00,6.23,13.9,10.34,6.2,13.88,9.85,65.44,66.03,35.94,40.52,65.22,35.23,11,3,6,8,0,3.5
2017-11-03 08:30:00,7.345000000000001,14.04,10.815,6.45,14.005,10.455,98.315,110.295,62.345,65.805,108.705,64.195,11,3,7,8,30,3.38
2017-11-03 09:00:00,8.46,14.18,11.29,6.7,14.13,11.06,131.19,154.56,88.75,91.09,152.19,93.16,11,3,1,9,0,3.35
2017-11-03 09:30:00,9.11,14.315,11.91,7.0,14.225000000000001,11.655000000000001,165.565,198.03,135.565,113.17,196.785,142.76999999999998,11,3,2,9,30,3.41
2017-11-03 10:00:00,9.76,14.45,12.53,7.3,14.32,12.25,199.94,241.5,182.38,135.25,241.38,192.38,11,3,3,10,0,3.31
2017-11-03 10:30:00,10.575,14.545,13.0,7.68,14.39,12.719999999999999,233.66,268.375,222.44,154.155,274.19,234.69,11,3,4,10,30,3.21
2017-11-03 11:00:00,11.39,14.64,13.47,8.06,14.46,13.19,267.38,295.25,262.5,173.06,307.0,277.0,11,3,5,11,0,3.16
2017-11-03 11:30:00,12.115,14.695,13.825,8.695,14.530000000000001,13.695,287.13,295.185,273.125,244.47,311.125,290.875,11,3,6,11,30,3.12
2017-11-03 12:00:00,12.84,14.75,14.18,9.33,14.6,14.2,306.88,295.12,283.75,315.88,315.25,304.75,11,3,7,12,0,2.89
2017-11-03 12:30:00,13.36,14.76,14.370000000000001,10.690000000000001,14.615,14.44,298.94,276.185,267.72,308.44,289.625,283.375,11,3,1,12,30,3.1
2017-11-03 13:00:00,13.88,14.77,14.56,12.05,14.63,14.68,291.0,257.25,251.69,301.0,264.0,262.0,11,3,2,13,0,3.04
2017-11-03 13:30:00,14.14,14.754999999999999,14.57,12.5,14.61,14.71,249.44,223.095,212.035,245.375,233.44,222.53,11,3,3,13,30,2.83
2017-11-03 14:00:00,14.4,14.74,14.58,12.95,14.59,14.74,207.88,188.94,172.38,189.75,202.88,183.06,11,3,4,14,0,2.76
2017-11-03 14:30:00,14.275,14.715,14.39,12.975,14.565,14.575,154.89499999999998,147.125,134.01999999999998,143.25,162.985,145.375,11,3,5,14,30,2.82
2017-11-03 15:00:00,14.15,14.69,14.2,13.0,14.54,14.41,101.91,105.31,95.66,96.75,123.09,107.69,11,3,6,15,0,2.89
2017-11-03 15:30:00,13.605,14.614999999999998,13.809999999999999,12.530000000000001,14.45,14.02,63.42,66.49000000000001,61.695,58.935,79.99000000000001,70.125,11,3,7,15,30,3.06
2017-11-03 16:00:00,13.06,14.54,13.42,12.06,14.36,13.63,24.93,27.67,27.73,21.12,36.89,32.56,11,3,1,16,0,3.36
2017-11-03 16:30:00,12.06,14.43,12.665,11.129999999999999,14.235,12.870000000000001,12.465,13.835,13.865,10.56,18.465,16.285,11,3,2,16,30,3.89
2017-11-03 17:00:00,11.06,14.32,11.91,10.2,14.11,12.11,0.0,0.0,0.0,0.0,0.04,0.01,11,3,3,17,0,4.48
2017-11-03 17:30:00,10.72,14.280000000000001,11.655000000000001,9.559999999999999,14.03,11.78,0.0,0.0,0.0,0.0,0.02,0.005,11,3,4,17,30,4.59
2017-11-03 18:00:00,10.38,14.24,11.4,8.92,13.95,11.45,0.0,0.0,0.0,0.0,0.0,0.0,11,3,5,18,0,4.51
